link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7],dst[8],dst[9],dst[10],dst[11],dst[12],dst[13],dst[14],dst[15],dst[16],dst[17],dst[18],dst[19],dst[20],dst[21],dst[22],dst[23],dst[24]
3961,625,3,1,1,3910,3913,3916,3931,3932,3935,3936,3937,3938,3940,3941,3942,3943,3945,3946,3947,3948,3950,3951,3952,3953,3955,3956,3957,3958
3962,625,3,1,1,3930,,,,,,,,,,,,,,,,,,,,,,,,
3963,625,3,1,1,3915,,,,,,,,,,,,,,,,,,,,,,,,
3964,625,3,1,1,3912,,,,,,,,,,,,,,,,,,,,,,,,
3970,643,629,1,8192,3921,,,,,,,,,,,,,,,,,,,,,,,,
3971,643,629,1,8192,3922,3923,3924,,,,,,,,,,,,,,,,,,,,,,
3980,679,678,2,4,3930,,,,,,,,,,,,,,,,,,,,,,,,
3981,698,678,2,8192,3918,3919,3920,,,,,,,,,,,,,,,,,,,,,,
3982,682,678,1,524288,8583,,,,,,,,,,,,,,,,,,,,,,,,
3983,698,678,2,32768,3917,,,,,,,,,,,,,,,,,,,,,,,,
4000,897,883,2,32768,8719,,,,,,,,,,,,,,,,,,,,,,,,
4001,897,883,2,8192,8838,8957,9076,,,,,,,,,,,,,,,,,,,,,,
4005,976,975,1,524288,8584,,,,,,,,,,,,,,,,,,,,,,,,
4009,989,988,1,524288,8584,,,,,,,,,,,,,,,,,,,,,,,,
4013,1002,1001,1,524288,8585,8586,,,,,,,,,,,,,,,,,,,,,,,
4017,1015,1014,1,524288,8586,,,,,,,,,,,,,,,,,,,,,,,,
4019,595,3910,2,4,678,,,,,,,,,,,,,,,,,,,,,,,,
4020,595,3910,2,4,678,,,,,,,,,,,,,,,,,,,,,,,,
4021,595,3910,2,4,678,,,,,,,,,,,,,,,,,,,,,,,,
4024,597,3911,2,2048,629,,,,,,,,,,,,,,,,,,,,,,,,
4026,598,3912,1,32,3911,,,,,,,,,,,,,,,,,,,,,,,,
4027,598,3912,1,32,3911,,,,,,,,,,,,,,,,,,,,,,,,
4029,599,3913,2,2048,629,,,,,,,,,,,,,,,,,,,,,,,,
4030,599,3913,2,2048,629,,,,,,,,,,,,,,,,,,,,,,,,
4033,600,3914,2,131072,7576,7737,7898,8059,,,,,,,,,,,,,,,,,,,,,
4035,601,3915,1,32768,3914,,,,,,,,,,,,,,,,,,,,,,,,
4036,601,3915,1,32768,3914,,,,,,,,,,,,,,,,,,,,,,,,
4038,602,3916,2,131072,7576,7737,7898,8059,,,,,,,,,,,,,,,,,,,,,
4039,602,3916,2,131072,7576,7737,7898,8059,,,,,,,,,,,,,,,,,,,,,
4042,604,3917,2,8192,3921,,,,,,,,,,,,,,,,,,,,,,,,
4045,605,3918,2,8192,3922,,,,,,,,,,,,,,,,,,,,,,,,
4048,606,3919,2,8192,3923,,,,,,,,,,,,,,,,,,,,,,,,
4051,607,3920,2,8192,3924,,,,,,,,,,,,,,,,,,,,,,,,
4054,610,3921,1,8192,9193,,,,,,,,,,,,,,,,,,,,,,,,
4055,610,3921,1,8192,9192,,,,,,,,,,,,,,,,,,,,,,,,
4056,610,3921,1,8192,9193,,,,,,,,,,,,,,,,,,,,,,,,
4059,611,3922,1,8192,9192,,,,,,,,,,,,,,,,,,,,,,,,
4060,611,3922,1,8192,9193,,,,,,,,,,,,,,,,,,,,,,,,
4061,611,3922,1,8192,9193,,,,,,,,,,,,,,,,,,,,,,,,
4064,612,3923,1,8192,9192,,,,,,,,,,,,,,,,,,,,,,,,
4065,612,3923,1,8192,9193,,,,,,,,,,,,,,,,,,,,,,,,
