link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7],dst[8],dst[9],dst[10],dst[11],dst[12],dst[13],dst[14],dst[15],dst[16],dst[17],dst[18],dst[19],dst[20],dst[21],dst[22],dst[23],dst[24],dst[25]
4822,784,3,1,1,4774,,,,,,,,,,,,,,,,,,,,,,,,,
4823,784,3,1,1,4766,4793,,,,,,,,,,,,,,,,,,,,,,,,
4824,784,3,1,1,4767,4768,4772,4775,4794,4795,4798,4799,4800,4801,4802,4804,4805,4806,4807,4808,4810,4811,4812,4813,4814,4816,4817,4818,4819,4820
4825,784,3,1,1,4771,,,,,,,,,,,,,,,,,,,,,,,,,
4834,811,788,2,52736,10280,,,,,,,,,,,,,,,,,,,,,,,,,
4835,792,788,2,32,4792,,,,,,,,,,,,,,,,,,,,,,,,,
4836,789,788,2,8,4793,,,,,,,,,,,,,,,,,,,,,,,,,
4837,811,788,2,6592,10413,10546,10677,10810,,,,,,,,,,,,,,,,,,,,,,
4841,887,883,2,512,4769,,,,,,,,,,,,,,,,,,,,,,,,,
4842,884,883,2,32,4792,,,,,,,,,,,,,,,,,,,,,,,,,
4862,1031,1014,1,6592,4782,,,,,,,,,,,,,,,,,,,,,,,,,
4863,1031,1014,1,6592,4783,4784,4785,4786,,,,,,,,,,,,,,,,,,,,,,
4867,1090,1089,2,52736,10125,10130,,,,,,,,,,,,,,,,,,,,,,,,
4871,1103,1102,2,512,4769,,,,,,,,,,,,,,,,,,,,,,,,,
4875,1133,1132,2,52736,10127,10128,,,,,,,,,,,,,,,,,,,,,,,,
4879,1146,1145,2,52736,10128,,,,,,,,,,,,,,,,,,,,,,,,,
4883,1159,1158,2,52736,10128,,,,,,,,,,,,,,,,,,,,,,,,,
4887,1172,1171,2,52736,10128,,,,,,,,,,,,,,,,,,,,,,,,,
4891,1185,1184,2,52736,10126,,,,,,,,,,,,,,,,,,,,,,,,,
4894,746,4766,2,8,788,,,,,,,,,,,,,,,,,,,,,,,,,
4896,747,4767,1,1,4766,,,,,,,,,,,,,,,,,,,,,,,,,
4898,748,4768,2,8,788,,,,,,,,,,,,,,,,,,,,,,,,,
4899,748,4768,2,8,788,,,,,,,,,,,,,,,,,,,,,,,,,
4902,751,4769,2,512,883,,,,,,,,,,,,,,,,,,,,,,,,,
4903,751,4769,2,512,883,,,,,,,,,,,,,,,,,,,,,,,,,
4904,751,4769,2,512,883,,,,,,,,,,,,,,,,,,,,,,,,,
4907,753,4770,2,262144,8451,8565,8679,8793,8907,9147,9261,9375,9489,9603,,,,,,,,,,,,,,,,
4909,754,4771,1,32768,4770,,,,,,,,,,,,,,,,,,,,,,,,,
4910,754,4771,1,32768,4770,,,,,,,,,,,,,,,,,,,,,,,,,
4912,755,4772,2,262144,8451,8565,8679,8793,8907,9147,9261,9375,9489,9603,,,,,,,,,,,,,,,,
4913,755,4772,2,262144,8451,8565,8679,8793,8907,9147,9261,9375,9489,9603,,,,,,,,,,,,,,,,
4916,756,4773,2,2048,1014,,,,,,,,,,,,,,,,,,,,,,,,,
4918,757,4774,1,64,4773,,,,,,,,,,,,,,,,,,,,,,,,,
4919,757,4774,1,64,4773,,,,,,,,,,,,,,,,,,,,,,,,,
4921,758,4775,2,2048,1014,,,,,,,,,,,,,,,,,,,,,,,,,
4922,758,4775,2,2048,1014,,,,,,,,,,,,,,,,,,,,,,,,,
4949,768,4782,1,6592,10944,,,,,,,,,,,,,,,,,,,,,,,,,
4952,769,4783,1,6592,11076,,,,,,,,,,,,,,,,,,,,,,,,,
4955,770,4784,1,6592,11208,,,,,,,,,,,,,,,,,,,,,,,,,
4958,771,4785,1,6592,11340,,,,,,,,,,,,,,,,,,,,,,,,,
4961,772,4786,1,6592,11472,,,,,,,,,,,,,,,,,,,,,,,,,
4989,779,4792,2,32,788,,,,,,,,,,,,,,,,,,,,,,,,,
4990,779,4792,2,32,788,,,,,,,,,,,,,,,,,,,,,,,,,
4991,779,4792,2,32,788,,,,,,,,,,,,,,,,,,,,,,,,,
4996,780,4793,1,1,4796,,,,,,,,,,,,,,,,,,,,,,,,,
4998,781,4794,1,1,4793,,,,,,,,,,,,,,,,,,,,,,,,,
5000,782,4795,2,8,4793,,,,,,,,,,,,,,,,,,,,,,,,,
5002,783,4796,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,
5016,796,4798,2,52736,11610,,,,,,,,,,,,,,,,,,,,,,,,,
5017,796,4798,2,52736,11611,,,,,,,,,,,,,,,,,,,,,,,,,
5019,799,4799,2,52736,11611,,,,,,,,,,,,,,,,,,,,,,,,,
5020,799,4799,2,52736,11610,,,,,,,,,,,,,,,,,,,,,,,,,
5022,802,4800,2,52736,11611,,,,,,,,,,,,,,,,,,,,,,,,,
5023,802,4800,2,52736,11611,,,,,,,,,,,,,,,,,,,,,,,,,
5025,805,4801,2,52736,11611,,,,,,,,,,,,,,,,,,,,,,,,,
5026,805,4801,2,52736,11611,,,,,,,,,,,,,,,,,,,,,,,,,
5028,808,4802,2,52736,11610,,,,,,,,,,,,,,,,,,,,,,,,,
5029,808,4802,2,52736,11611,,,,,,,,,,,,,,,,,,,,,,,,,
5043,905,4804,2,52736,11755,,,,,,,,,,,,,,,,,,,,,,,,,
5044,905,4804,2,52736,11755,,,,,,,,,,,,,,,,,,,,,,,,,
5046,908,4805,2,52736,11755,,,,,,,,,,,,,,,,,,,,,,,,,
5047,908,4805,2,52736,11755,,,,,,,,,,,,,,,,,,,,,,,,,
5049,911,4806,2,52736,11755,,,,,,,,,,,,,,,,,,,,,,,,,
5050,911,4806,2,52736,11755,,,,,,,,,,,,,,,,,,,,,,,,,
5052,914,4807,2,52736,11755,,,,,,,,,,,,,,,,,,,,,,,,,
5053,914,4807,2,52736,11755,,,,,,,,,,,,,,,,,,,,,,,,,
5055,917,4808,2,52736,11754,,,,,,,,,,,,,,,,,,,,,,,,,
5056,917,4808,2,52736,11754,,,,,,,,,,,,,,,,,,,,,,,,,
5070,962,4810,2,52736,11897,,,,,,,,,,,,,,,,,,,,,,,,,
5071,962,4810,2,52736,11897,,,,,,,,,,,,,,,,,,,,,,,,,
5073,965,4811,2,52736,11897,,,,,,,,,,,,,,,,,,,,,,,,,
5074,965,4811,2,52736,11897,,,,,,,,,,,,,,,,,,,,,,,,,
5076,968,4812,2,52736,11897,,,,,,,,,,,,,,,,,,,,,,,,,
5077,968,4812,2,52736,11897,,,,,,,,,,,,,,,,,,,,,,,,,
5079,971,4813,2,52736,11897,,,,,,,,,,,,,,,,,,,,,,,,,
5080,971,4813,2,52736,11897,,,,,,,,,,,,,,,,,,,,,,,,,
5082,974,4814,2,52736,11896,,,,,,,,,,,,,,,,,,,,,,,,,
5083,974,4814,2,52736,11896,,,,,,,,,,,,,,,,,,,,,,,,,
5097,1016,4816,1,6592,12027,,,,,,,,,,,,,,,,,,,,,,,,,
5098,1016,4816,1,6592,12027,,,,,,,,,,,,,,,,,,,,,,,,,
5100,1019,4817,1,6592,12027,,,,,,,,,,,,,,,,,,,,,,,,,
5101,1019,4817,1,6592,12027,,,,,,,,,,,,,,,,,,,,,,,,,
5103,1022,4818,1,6592,12027,,,,,,,,,,,,,,,,,,,,,,,,,
5104,1022,4818,1,6592,12027,,,,,,,,,,,,,,,,,,,,,,,,,
5106,1025,4819,1,6592,12027,,,,,,,,,,,,,,,,,,,,,,,,,
5107,1025,4819,1,6592,12027,,,,,,,,,,,,,,,,,,,,,,,,,
5109,1028,4820,1,6592,12026,,,,,,,,,,,,,,,,,,,,,,,,,
5110,1028,4820,1,6592,12026,,,,,,,,,,,,,,,,,,,,,,,,,
8564,8453,8451,2,6592,10414,10547,10678,10811,,,,,,,,,,,,,,,,,,,,,,
8563,8453,8451,2,52736,10281,,,,,,,,,,,,,,,,,,,,,,,,,
9139,8453,8451,2,6592,10414,10547,10678,10811,,,,,,,,,,,,,,,,,,,,,,
9140,8453,8451,2,52736,10281,,,,,,,,,,,,,,,,,,,,,,,,,
8678,8567,8565,2,6592,10414,10547,10678,10811,,,,,,,,,,,,,,,,,,,,,,
8677,8567,8565,2,52736,10281,,,,,,,,,,,,,,,,,,,,,,,,,
9141,8567,8565,2,52736,10281,,,,,,,,,,,,,,,,,,,,,,,,,
9142,8567,8565,2,6592,10414,10547,10678,10811,,,,,,,,,,,,,,,,,,,,,,
8792,8681,8679,2,6592,10414,10547,10678,10811,,,,,,,,,,,,,,,,,,,,,,
8791,8681,8679,2,52736,10281,,,,,,,,,,,,,,,,,,,,,,,,,
9143,8681,8679,2,52736,10281,,,,,,,,,,,,,,,,,,,,,,,,,
9144,8681,8679,2,6592,10414,10547,10678,10811,,,,,,,,,,,,,,,,,,,,,,
8906,8795,8793,2,6592,10414,10547,10678,10811,,,,,,,,,,,,,,,,,,,,,,
8905,8795,8793,2,52736,10281,,,,,,,,,,,,,,,,,,,,,,,,,
9145,8795,8793,2,52736,10281,,,,,,,,,,,,,,,,,,,,,,,,,
9146,8795,8793,2,6592,10413,10547,10678,10810,,,,,,,,,,,,,,,,,,,,,,
9020,8909,8907,2,6592,10413,10547,10678,10810,,,,,,,,,,,,,,,,,,,,,,
9019,8909,8907,2,52736,10281,,,,,,,,,,,,,,,,,,,,,,,,,
9260,9149,9147,2,52736,10945,,,,,,,,,,,,,,,,,,,,,,,,,
9259,9149,9147,2,6592,11076,11208,11341,11473,,,,,,,,,,,,,,,,,,,,,,
9835,9149,9147,2,52736,10945,,,,,,,,,,,,,,,,,,,,,,,,,
9836,9149,9147,2,6592,11076,11208,11341,11473,,,,,,,,,,,,,,,,,,,,,,
9374,9263,9261,2,52736,10945,,,,,,,,,,,,,,,,,,,,,,,,,
9373,9263,9261,2,6592,11076,11208,11341,11473,,,,,,,,,,,,,,,,,,,,,,
9837,9263,9261,2,52736,10944,,,,,,,,,,,,,,,,,,,,,,,,,
9838,9263,9261,2,6592,11076,11208,11340,11472,,,,,,,,,,,,,,,,,,,,,,
9488,9377,9375,2,52736,10944,,,,,,,,,,,,,,,,,,,,,,,,,
9487,9377,9375,2,6592,11077,11209,11340,11472,,,,,,,,,,,,,,,,,,,,,,
