link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7],dst[8],dst[9],dst[10],dst[11],dst[12],dst[13],dst[14],dst[15],dst[16],dst[17],dst[18],dst[19],dst[20],dst[21]
3596,576,3,1,1,3568,,,,,,,,,,,,,,,,,,,,,
3597,576,3,1,1,3555,,,,,,,,,,,,,,,,,,,,,
3598,576,3,1,1,3552,,,,,,,,,,,,,,,,,,,,,
3599,576,3,1,1,3550,3553,3556,3569,3570,3573,3574,3575,3577,3578,3579,3581,3582,3583,3584,3586,3587,3588,3590,3591,3592,3593
3605,591,580,1,10944,3561,3562,,,,,,,,,,,,,,,,,,,,
3606,591,580,1,10944,3560,,,,,,,,,,,,,,,,,,,,,
3615,638,621,2,43776,3557,,,,,,,,,,,,,,,,,,,,,
3616,638,621,2,10944,3558,3559,,,,,,,,,,,,,,,,,,,,
3617,625,621,1,524288,8167,,,,,,,,,,,,,,,,,,,,,
3618,622,621,2,4,3568,,,,,,,,,,,,,,,,,,,,,
3635,822,808,2,32768,8303,,,,,,,,,,,,,,,,,,,,,
3636,822,808,2,8192,8422,8541,8660,,,,,,,,,,,,,,,,,,,
3640,890,889,1,524288,8168,,,,,,,,,,,,,,,,,,,,,
3644,903,902,1,524288,8168,,,,,,,,,,,,,,,,,,,,,
3648,916,915,1,524288,8169,8170,,,,,,,,,,,,,,,,,,,,
3652,929,928,1,524288,8170,,,,,,,,,,,,,,,,,,,,,
3654,548,3550,2,4,621,,,,,,,,,,,,,,,,,,,,,
3655,548,3550,2,4,621,,,,,,,,,,,,,,,,,,,,,
3656,548,3550,2,4,621,,,,,,,,,,,,,,,,,,,,,
3659,550,3551,2,2048,580,,,,,,,,,,,,,,,,,,,,,
3661,551,3552,1,32,3551,,,,,,,,,,,,,,,,,,,,,
3662,551,3552,1,32,3551,,,,,,,,,,,,,,,,,,,,,
3664,552,3553,2,2048,580,,,,,,,,,,,,,,,,,,,,,
3665,552,3553,2,2048,580,,,,,,,,,,,,,,,,,,,,,
3668,553,3554,2,131072,7185,7344,7503,7662,,,,,,,,,,,,,,,,,,
3670,554,3555,1,32768,3554,,,,,,,,,,,,,,,,,,,,,
3671,554,3555,1,32768,3554,,,,,,,,,,,,,,,,,,,,,
3673,555,3556,2,131072,7185,7344,7503,7662,,,,,,,,,,,,,,,,,,
3674,555,3556,2,131072,7185,7344,7503,7662,,,,,,,,,,,,,,,,,,
3677,557,3557,2,10944,3560,,,,,,,,,,,,,,,,,,,,,
3680,558,3558,2,10944,3561,,,,,,,,,,,,,,,,,,,,,
3683,559,3559,2,10944,3562,,,,,,,,,,,,,,,,,,,,,
3686,562,3560,1,10944,3594,,,,,,,,,,,,,,,,,,,,,
