link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7],dst[8],dst[9],dst[10],dst[11],dst[12],dst[13]
3622,1323,3,1,1,3590,3608,,,,,,,,,,,,
3623,1323,3,1,1,3575,3593,,,,,,,,,,,,
3624,1323,3,1,1,3587,3605,,,,,,,,,,,,
3625,1323,3,1,1,3581,3599,,,,,,,,,,,,
3626,1323,3,1,1,3578,3596,,,,,,,,,,,,
3627,1323,3,1,1,3584,3602,,,,,,,,,,,,
3628,1323,3,1,1,3576,3579,3582,3585,3588,3591,3594,3597,3600,3603,3606,3609,3614,3618
3629,1323,3,1,1,3613,3617,,,,,,,,,,,,
3633,1330,1329,2,32768,7893,,,,,,,,,,,,,
3637,1343,1342,2,32768,8741,,,,,,,,,,,,,
3641,1356,1355,2,32768,7863,7864,7882,,,,,,,,,,,
3645,1369,1368,2,32768,8710,8711,8736,,,,,,,,,,,
3649,1382,1381,2,32768,7882,7888,,,,,,,,,,,,
3653,1395,1394,2,32768,8736,,,,,,,,,,,,,
3657,1408,1407,2,32768,7883,7892,,,,,,,,,,,,
3661,1421,1420,2,32768,8736,8740,,,,,,,,,,,,
3665,1434,1433,2,32768,7883,,,,,,,,,,,,,
3669,1447,1446,2,32768,8728,8736,,,,,,,,,,,,
3673,1460,1459,2,32768,7880,7884,7885,7886,7888,7891,7892,,,,,,,
3677,1473,1472,2,32768,8729,8730,8731,8733,8738,8740,,,,,,,,
3681,1486,1485,2,32768,3612,,,,,,,,,,,,,
3685,1499,1498,2,32768,3616,,,,,,,,,,,,,
3688,1274,3574,2,32768,1329,,,,,,,,,,,,,
3690,1275,3575,1,16,3574,,,,,,,,,,,,,
3691,1275,3575,1,16,3574,,,,,,,,,,,,,
3693,1276,3576,2,32768,1329,,,,,,,,,,,,,
3694,1276,3576,2,32768,1329,,,,,,,,,,,,,
3697,1277,3577,2,32768,1355,,,,,,,,,,,,,
3699,1278,3578,1,16,3577,,,,,,,,,,,,,
3700,1278,3578,1,16,3577,,,,,,,,,,,,,
3702,1279,3579,2,32768,1355,,,,,,,,,,,,,
3703,1279,3579,2,32768,1355,,,,,,,,,,,,,
3706,1280,3580,2,32768,1381,,,,,,,,,,,,,
3708,1281,3581,1,16,3580,,,,,,,,,,,,,
3709,1281,3581,1,16,3580,,,,,,,,,,,,,
3711,1282,3582,2,32768,1381,,,,,,,,,,,,,
3712,1282,3582,2,32768,1381,,,,,,,,,,,,,
3715,1283,3583,2,32768,1407,,,,,,,,,,,,,
3717,1284,3584,1,16,3583,,,,,,,,,,,,,
3718,1284,3584,1,16,3583,,,,,,,,,,,,,
3720,1285,3585,2,32768,1407,,,,,,,,,,,,,
3721,1285,3585,2,32768,1407,,,,,,,,,,,,,
3724,1286,3586,2,32768,1433,,,,,,,,,,,,,
