link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7],dst[8],dst[9],dst[10],dst[11],dst[12],dst[13],dst[14],dst[15],dst[16],dst[17],dst[18],dst[19],dst[20],dst[21],dst[22],dst[23],dst[24],dst[25],dst[26],dst[27]
4404,710,3,1,1,4353,,,,,,,,,,,,,,,,,,,,,,,,,,,
4405,710,3,1,1,4348,4351,4371,4372,4375,4376,4377,4378,4379,4381,4382,4383,4384,4385,4387,4388,4389,4390,4391,4393,4394,4395,4396,4398,4399,4400,4401,9285
4406,710,3,1,1,4370,,,,,,,,,,,,,,,,,,,,,,,,,,,
4407,710,3,1,1,4350,,,,,,,,,,,,,,,,,,,,,,,,,,,
4413,731,714,1,6560,4360,,,,,,,,,,,,,,,,,,,,,,,,,,,
4414,731,714,1,6560,4361,4362,4363,4364,,,,,,,,,,,,,,,,,,,,,,,,
4423,775,771,1,524288,10080,10083,,,,,,,,,,,,,,,,,,,,,,,,,,
4424,772,771,2,4,4370,,,,,,,,,,,,,,,,,,,,,,,,,,,
4425,794,771,2,26240,9402,,,,,,,,,,,,,,,,,,,,,,,,,,,
4426,794,771,2,6560,9527,9654,9783,9910,,,,,,,,,,,,,,,,,,,,,,,,
4446,1004,990,2,32768,10211,,,,,,,,,,,,,,,,,,,,,,,,,,,
4447,1004,990,2,8192,10330,10449,10568,,,,,,,,,,,,,,,,,,,,,,,,,
4451,1094,1093,1,524288,10080,,,,,,,,,,,,,,,,,,,,,,,,,,,
4455,1107,1106,1,524288,10080,,,,,,,,,,,,,,,,,,,,,,,,,,,
4459,1120,1119,1,524288,10081,,,,,,,,,,,,,,,,,,,,,,,,,,,
4463,1133,1132,1,524288,10081,,,,,,,,,,,,,,,,,,,,,,,,,,,
4465,678,4348,2,4,771,,,,,,,,,,,,,,,,,,,,,,,,,,,
4466,678,4348,2,4,771,,,,,,,,,,,,,,,,,,,,,,,,,,,
4467,678,4348,2,4,771,,,,,,,,,,,,,,,,,,,,,,,,,,,
4470,680,4349,2,2048,714,,,,,,,,,,,,,,,,,,,,,,,,,,,
4472,681,4350,1,32,4349,,,,,,,,,,,,,,,,,,,,,,,,,,,
4473,681,4350,1,32,4349,,,,,,,,,,,,,,,,,,,,,,,,,,,
4475,682,4351,2,2048,714,,,,,,,,,,,,,,,,,,,,,,,,,,,
