link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7],dst[8],dst[9],dst[10],dst[11],dst[12],dst[13],dst[14],dst[15],dst[16],dst[17],dst[18],dst[19],dst[20],dst[21],dst[22],dst[23],dst[24],dst[25],dst[26],dst[27],dst[28]
4758,789,3,1,1,4710,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4759,789,3,1,1,4699,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4760,789,3,1,1,4700,4701,4703,4704,4708,4711,4725,4728,4729,4731,4732,4734,4735,4737,4738,4740,4741,4742,4743,4744,4745,4746,4748,4749,4750,4751,4752,4753,4754
4761,789,3,1,1,4702,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4762,789,3,1,1,4707,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4763,789,3,1,1,4724,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4769,801,793,2,4096,4713,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4770,801,793,2,512,4714,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4776,834,826,2,512,4714,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4777,834,826,2,4096,4713,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4781,878,877,2,1024,4723,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4782,881,877,2,4096,4705,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4788,905,897,2,4096,4713,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4789,905,897,2,512,4714,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4800,988,987,2,524288,9780,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4804,1001,1000,2,4096,4705,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4808,1011,1010,2,131072,9931,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4814,1046,1023,2,131072,9931,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4815,1046,1023,2,16384,10056,10180,10304,,,,,,,,,,,,,,,,,,,,,,,,,,
4819,1091,1090,2,131072,10429,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4825,1126,1103,2,16384,10554,10678,10802,,,,,,,,,,,,,,,,,,,,,,,,,,
4826,1126,1103,2,131072,10429,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4837,752,4699,2,8,793,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4839,753,4700,1,1,4699,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4841,754,4701,2,8,793,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4842,754,4701,2,8,793,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4845,755,4702,2,8,826,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4847,756,4703,1,1,4702,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4849,757,4704,2,8,826,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4850,757,4704,2,8,826,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4853,759,4705,2,4096,877,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4854,759,4705,2,4096,877,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4855,759,4705,2,4096,877,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4858,761,4706,2,64,897,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4860,762,4707,1,4,4706,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4861,762,4707,1,4,4706,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4863,763,4708,2,64,897,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4864,763,4708,2,64,897,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4867,764,4709,2,8192,8432,8522,,,,,,,,,,,,,,,,,,,,,,,,,,,
4869,765,4710,1,1024,4709,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4870,765,4710,1,1024,4709,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4872,766,4711,2,8192,8432,8522,,,,,,,,,,,,,,,,,,,,,,,,,,,
4873,766,4711,2,8192,8432,8522,,,,,,,,,,,,,,,,,,,,,,,,,,,
4884,769,4713,2,4096,1010,1023,,,,,,,,,,,,,,,,,,,,,,,,,,,
4885,769,4713,2,4096,1010,1023,,,,,,,,,,,,,,,,,,,,,,,,,,,
4886,769,4713,2,4096,1010,1023,,,,,,,,,,,,,,,,,,,,,,,,,,,
4891,770,4714,2,4096,1090,1103,,,,,,,,,,,,,,,,,,,,,,,,,,,
4892,770,4714,2,4096,1090,1103,,,,,,,,,,,,,,,,,,,,,,,,,,,
4893,770,4714,2,4096,1090,1103,,,,,,,,,,,,,,,,,,,,,,,,,,,
4932,785,4723,1,128,4726,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4934,786,4724,1,128,4723,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4935,786,4724,1,128,4723,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4937,787,4725,2,1024,4723,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4939,788,4726,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4944,794,4727,2,4096,793,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4945,794,4727,2,4096,793,,,,,,,,,,,,,,,,,,,,,,,,,,,,
